Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
124;28.2092;28.0801;-256.755;-256.262;-256.684;-256.895;-256.942;-256.011;10:11:42
125;28.217;28.0723;-256.755;-256.254;-256.7;-256.895;-256.95;-256.003;10:11:43
126;28.2092;28.0723;-256.751;-256.254;-256.692;-256.895;-256.942;-256.003;10:11:43
127;28.217;28.0801;-256.758;-256.262;-256.692;-256.888;-256.942;-256.011;10:11:44
128;28.217;28.0801;-256.755;-256.262;-256.7;-256.895;-256.95;-256.003;10:11:44
129;28.2092;28.0801;-256.758;-256.254;-256.692;-256.888;-256.942;-256.011;10:11:45
130;28.217;28.0801;-256.758;-256.262;-256.692;-256.895;-256.942;-256.003;10:11:45
131;28.217;28.0801;-256.758;-256.254;-256.692;-256.895;-256.95;-256.003;10:11:46
132;28.2248;28.0801;-256.758;-256.262;-256.708;-256.895;-256.95;-256.011;10:11:46
133;28.2248;28.0879;-256.755;-256.254;-256.692;-256.888;-256.942;-255.996;10:11:47
134;28.2248;28.0957;-256.758;-256.254;-256.692;-256.895;-256.95;-256.003;10:11:47
135;28.2248;28.0801;-256.758;-256.262;-256.692;-256.895;-256.935;-256.003;10:11:48
136;28.2248;28.0801;-256.755;-256.254;-256.692;-256.895;-256.942;-255.996;10:11:48
137;28.2327;28.0801;-256.758;-256.254;-256.692;-256.888;-256.95;-256.011;10:11:49
138;28.2405;28.0879;-256.755;-256.254;-256.692;-256.895;-256.935;-256.003;10:11:49
139;28.2405;28.0879;-256.755;-256.254;-256.684;-256.895;-256.942;-256.003;10:11:50
140;28.2405;28.0801;-256.755;-256.254;-256.692;-256.895;-256.95;-256.003;10:11:50
141;28.2405;28.0879;-256.758;-256.254;-256.684;-256.888;-256.95;-256.003;10:11:51
142;28.2405;28.0957;-256.758;-256.254;-256.684;-256.895;-256.942;-256.003;10:11:51
143;28.2561;28.0957;-256.755;-256.254;-256.684;-256.895;-256.942;-256.003;10:11:52
144;28.2483;28.0879;-256.755;-256.262;-256.684;-256.888;-256.942;-256.003;10:11:52
145;28.2405;28.0879;-256.751;-256.262;-256.692;-256.895;-256.95;-256.003;10:11:53
146;28.2483;28.0957;-256.751;-256.254;-256.684;-256.888;-256.942;-255.996;10:11:53
147;28.2561;28.0957;-256.751;-256.262;-256.684;-256.895;-256.942;-255.996;10:11:54
148;28.2483;28.0957;-256.751;-256.262;-256.684;-256.888;-256.942;-255.996;10:11:54
149;28.2561;28.0957;-256.755;-256.262;-256.692;-256.895;-256.958;-256.003;10:11:55
150;28.2561;28.1036;-256.755;-256.254;-256.684;-256.895;-256.942;-255.996;10:11:55
151;28.264;28.0957;-256.755;-256.262;-256.692;-256.895;-256.95;-256.003;10:11:56
152;28.2483;28.0801;-256.755;-256.254;-256.692;-256.888;-256.942;-256.003;10:11:56
153;28.2483;28.0957;-256.755;-256.262;-256.692;-256.888;-256.958;-256.003;10:11:57
154;28.2561;28.0879;-256.758;-256.254;-256.692;-256.895;-256.95;-256.003;10:11:57
155;28.2561;28.0957;-256.755;-256.254;-256.684;-256.888;-256.942;-256.003;10:11:58
156;28.264;28.0957;-256.755;-256.262;-256.692;-256.895;-256.95;-255.996;10:11:58
157;28.264;28.1036;-256.755;-256.254;-256.692;-256.888;-256.942;-255.996;10:11:59
158;28.2561;28.0957;-256.755;-256.262;-256.684;-256.888;-256.942;-256.003;10:11:59
159;28.264;28.1036;-256.755;-256.262;-256.692;-256.895;-256.942;-256.003;10:12:00
160;28.2718;28.1036;-256.751;-256.262;-256.684;-256.888;-256.95;-255.996;10:12:00
161;28.264;28.0957;-256.755;-256.262;-256.692;-256.888;-256.942;-256.003;10:12:01
162;28.2718;28.0957;-256.755;-256.262;-256.692;-256.895;-256.95;-256.003;10:12:01
163;28.2796;28.0957;-256.755;-256.262;-256.692;-256.888;-256.935;-256.003;10:12:02
