Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time;;DT8;DT7
723;35.0835;33.5615;-256.755;-256.254;-256.684;-256.919;-256.958;-255.972;12:33:10;;;
724;35.0522;33.538;-256.751;-256.254;-256.684;-256.919;-256.95;-255.972;12:33:11;;;
725;35.0248;33.5146;-256.755;-256.254;-256.684;-256.919;-256.958;-255.964;12:33:11;;;
726;35.0013;33.4989;-256.751;-256.25;-256.692;-256.927;-256.942;-255.972;12:33:12;;;
727;34.97;33.4872;-256.747;-256.254;-256.692;-256.919;-256.942;-255.956;12:33:12;;;
728;34.9465;33.4715;-256.751;-256.254;-256.684;-256.927;-256.958;-255.972;12:33:13;;;
729;34.9152;33.4402;-256.755;-256.254;-256.692;-256.927;-256.95;-255.964;12:33:13;;;
730;34.8918;33.4167;-256.751;-256.254;-256.692;-256.919;-256.958;-255.964;12:33:14;;;
731;34.8605;33.4011;-256.751;-256.25;-256.684;-256.927;-256.95;-255.972;12:33:14;;;
732;34.8292;33.3698;-256.758;-256.25;-256.692;-256.919;-256.95;-255.972;12:33:15;;;
733;34.8213;33.3541;-256.751;-256.25;-256.684;-256.927;-256.942;-255.964;12:33:15;;;
734;34.7861;33.3228;-256.755;-256.25;-256.692;-256.919;-256.95;-255.964;12:33:16;;;
735;34.7627;33.3072;-256.751;-256.254;-256.692;-256.919;-256.942;-255.972;12:33:16;;;
736;34.7314;33.2876;-256.747;-256.25;-256.676;-256.927;-256.958;-255.956;12:33:17;;;
737;34.7079;33.2759;-256.751;-256.25;-256.684;-256.919;-256.958;-255.964;12:33:17;;;
738;34.6766;33.2563;-256.751;-256.25;-256.692;-256.919;-256.966;-255.964;12:33:18;;;
739;34.6531;33.2329;-256.751;-256.25;-256.692;-256.919;-256.958;-255.964;12:33:18;;;
740;34.6296;33.2172;-256.751;-256.246;-256.692;-256.919;-256.966;-255.964;12:33:19;;;
741;34.614;33.2016;-256.755;-256.25;-256.684;-256.919;-256.958;-255.964;12:33:19;;;
742;34.6101;33.1937;-256.747;-256.25;-256.684;-256.919;-256.958;-255.972;12:33:20;;;
